threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.8227187991142273,0.9043478260869565,1.0,0.8817204301075269,1.0,0.9371428571428572,82,22,0,11
0.8311782479286194,0.8956521739130435,1.0,0.8709677419354839,1.0,0.9310344827586207,81,22,0,12
0.8372145295143127,0.8869565217391304,1.0,0.8602150537634409,1.0,0.9248554913294798,80,22,0,13
0.8389565944671631,0.8782608695652174,1.0,0.8494623655913979,1.0,0.9186046511627907,79,22,0,14
0.8391231298446655,0.8695652173913043,1.0,0.8387096774193549,1.0,0.9122807017543859,78,22,0,15
0.8446700572967529,0.8608695652173913,1.0,0.8279569892473119,1.0,0.9058823529411765,77,22,0,16
0.8487622737884521,0.8521739130434782,1.0,0.8172043010752689,1.0,0.8994082840236687,76,22,0,17
0.8536186218261719,0.8434782608695652,1.0,0.8064516129032258,1.0,0.8928571428571429,75,22,0,18
0.8564083576202393,0.8347826086956521,1.0,0.7956989247311828,1.0,0.8862275449101796,74,22,0,19
0.8571590781211853,0.8260869565217391,1.0,0.7849462365591398,1.0,0.8795180722891566,73,22,0,20
0.8572114706039429,0.8173913043478261,1.0,0.7741935483870968,1.0,0.8727272727272727,72,22,0,21
0.8576479554176331,0.808695652173913,1.0,0.7634408602150538,1.0,0.8658536585365854,71,22,0,22
0.8584843277931213,0.8,1.0,0.7526881720430108,1.0,0.8588957055214724,70,22,0,23
0.8593938946723938,0.7913043478260869,1.0,0.7419354838709677,1.0,0.8518518518518519,69,22,0,24
0.8598551154136658,0.782608695652174,1.0,0.7311827956989247,1.0,0.84472049689441,68,22,0,25
0.8598774075508118,0.7739130434782608,1.0,0.7204301075268817,1.0,0.8375,67,22,0,26
0.8602800965309143,0.7652173913043478,1.0,0.7096774193548387,1.0,0.8301886792452831,66,22,0,27
0.8612223267555237,0.7565217391304347,1.0,0.6989247311827957,1.0,0.8227848101265823,65,22,0,28
0.8616662621498108,0.7478260869565218,1.0,0.6881720430107527,1.0,0.8152866242038217,64,22,0,29
0.8625509142875671,0.7391304347826086,1.0,0.6774193548387096,1.0,0.8076923076923077,63,22,0,30
0.8631496429443359,0.7304347826086957,1.0,0.6666666666666666,1.0,0.8,62,22,0,31
0.8639761805534363,0.7217391304347827,1.0,0.6559139784946236,1.0,0.7922077922077922,61,22,0,32
0.8648735284805298,0.7130434782608696,1.0,0.6451612903225806,1.0,0.7843137254901961,60,22,0,33
0.8651626706123352,0.7043478260869566,1.0,0.6344086021505376,1.0,0.7763157894736842,59,22,0,34
0.866180956363678,0.6956521739130435,1.0,0.6236559139784946,1.0,0.7682119205298014,58,22,0,35
0.8665879964828491,0.6869565217391305,1.0,0.6129032258064516,1.0,0.76,57,22,0,36
0.8673211336135864,0.6782608695652174,1.0,0.6021505376344086,1.0,0.7516778523489933,56,22,0,37
0.8705878257751465,0.6695652173913044,1.0,0.5913978494623656,1.0,0.7432432432432432,55,22,0,38
0.8711896538734436,0.6608695652173913,1.0,0.5806451612903226,1.0,0.7346938775510204,54,22,0,39
0.8733521699905396,0.6521739130434783,1.0,0.5698924731182796,1.0,0.726027397260274,53,22,0,40
0.8741009831428528,0.6434782608695652,1.0,0.5591397849462365,1.0,0.7172413793103448,52,22,0,41
0.8750478625297546,0.6347826086956522,1.0,0.5483870967741935,1.0,0.7083333333333334,51,22,0,42
0.8752384781837463,0.6260869565217392,1.0,0.5376344086021505,1.0,0.6993006993006993,50,22,0,43
0.8757033944129944,0.6173913043478261,1.0,0.5268817204301075,1.0,0.6901408450704225,49,22,0,44
0.8758446574211121,0.6086956521739131,1.0,0.5161290322580645,1.0,0.6808510638297872,48,22,0,45
0.8796605467796326,0.6,1.0,0.5053763440860215,1.0,0.6714285714285714,47,22,0,46
0.8797636032104492,0.591304347826087,1.0,0.4946236559139785,1.0,0.6618705035971223,46,22,0,47
0.8816694617271423,0.5826086956521739,1.0,0.4838709677419355,1.0,0.6521739130434783,45,22,0,48
0.8819504976272583,0.5739130434782609,1.0,0.4731182795698925,1.0,0.6423357664233577,44,22,0,49
0.8826924562454224,0.5652173913043478,1.0,0.46236559139784944,1.0,0.6323529411764706,43,22,0,50
0.8836857676506042,0.5565217391304348,1.0,0.45161290322580644,1.0,0.6222222222222222,42,22,0,51
0.8851153254508972,0.5478260869565217,1.0,0.44086021505376344,1.0,0.6119402985074627,41,22,0,52
0.8854659795761108,0.5391304347826087,1.0,0.43010752688172044,1.0,0.6015037593984962,40,22,0,53
0.8856602311134338,0.5304347826086957,1.0,0.41935483870967744,1.0,0.5909090909090909,39,22,0,54
0.886412501335144,0.5217391304347826,1.0,0.40860215053763443,1.0,0.5801526717557252,38,22,0,55
0.8873481154441833,0.5130434782608696,1.0,0.3978494623655914,1.0,0.5692307692307692,37,22,0,56
0.8880361914634705,0.5043478260869565,1.0,0.3870967741935484,1.0,0.5581395348837209,36,22,0,57
0.8885109424591064,0.4956521739130435,1.0,0.3763440860215054,1.0,0.546875,35,22,0,58
